74	1	B	01	N
75	1	B	02	N
76	1	B	03	N
77	1	B	04	N
78	1	B	05	N
90	1	G	01	N
91	1	G	02	N
92	1	G	03	N
93	1	G	04	N
94	1	G	05	N
106	1	R	01	N
107	1	R	02	N
108	1	R	03	N
109	1	R	04	N
110	1	R	05	N
122	1	W	01	N
123	1	W	02	N
124	1	W	03	N
125	1	W	04	N
126	1	W	05	N
426	2	B	01	N
427	2	B	02	N
428	2	B	03	N
429	2	B	04	N
430	2	B	05	N
442	2	G	01	N
443	2	G	02	N
444	2	G	03	N
445	2	G	04	N
446	2	G	05	N
458	2	R	01	N
459	2	R	02	N
460	2	R	03	N
461	2	R	04	N
462	2	R	05	N
474	2	W	01	N
475	2	W	02	N
476	2	W	03	N
477	2	W	04	N
478	2	W	05	N
522	3	B	01	N
523	3	B	02	N
524	3	B	03	N
525	3	B	04	N
526	3	B	05	N
538	3	G	01	N
539	3	G	02	N
540	3	G	03	N
541	3	G	04	N
542	3	G	05	N
554	3	R	01	N
555	3	R	02	N
556	3	R	03	N
557	3	R	04	N
558	3	R	05	N
570	3	W	01	N
571	3	W	02	N
572	3	W	03	N
573	3	W	04	N
574	3	W	05	N
650	4	B	01	N
651	4	B	02	N
652	4	B	03	N
653	4	B	04	N
654	4	B	05	N
666	4	G	01	N
667	4	G	02	N
668	4	G	03	N
669	4	G	04	N
670	4	G	05	N
682	4	R	01	N
683	4	R	02	N
684	4	R	03	N
685	4	R	04	N
686	4	R	05	N
698	4	W	01	N
699	4	W	02	N
700	4	W	03	N
701	4	W	04	N
702	4	W	05	N
773	5	B	01	N
774	5	B	02	N
775	5	B	03	N
776	5	B	04	N
777	5	B	05	N
778	5	G	01	N
779	5	G	02	N
780	5	G	03	N
781	5	G	04	N
782	5	G	05	N
789	5	R	01	N
790	5	R	02	N
791	5	R	03	N
792	5	R	04	N
793	5	R	05	N
794	5	W	01	N
795	5	W	02	N
796	5	W	03	N
797	5	W	04	N
798	5	W	05	N
10	6	B	01	N
11	6	B	02	N
12	6	B	03	N
13	6	B	04	N
14	6	B	05	N
26	6	G	01	N
27	6	G	02	N
28	6	G	03	N
29	6	G	04	N
30	6	G	05	N
42	6	R	01	N
43	6	R	02	N
44	6	R	03	N
45	6	R	04	N
46	6	R	05	N
58	6	W	01	N
59	6	W	02	N
60	6	W	03	N
61	6	W	04	N
62	6	W	05	N
805	7	B	01	N
806	7	B	02	N
807	7	B	03	N
808	7	B	04	N
809	7	B	05	N
810	7	G	01	N
811	7	G	02	N
812	7	G	03	N
813	7	G	04	N
814	7	G	05	N
821	7	R	01	N
822	7	R	02	N
823	7	R	03	N
824	7	R	04	N
825	7	R	05	N
826	7	W	01	N
827	7	W	02	N
828	7	W	03	N
829	7	W	04	N
830	7	W	05	N
389	8	B	01	N
390	8	B	02	N
391	8	B	03	N
392	8	B	04	N
393	8	B	05	N
394	8	G	01	N
395	8	G	02	N
396	8	G	03	N
397	8	G	04	N
398	8	G	05	N
405	8	R	01	N
406	8	R	02	N
407	8	R	03	N
408	8	R	04	N
409	8	R	05	N
410	8	W	01	N
411	8	W	02	N
412	8	W	03	N
413	8	W	04	N
414	8	W	05	N
842	9	B	01	N
843	9	B	02	N
844	9	B	03	N
845	9	B	04	N
846	9	B	05	N
858	9	G	01	N
859	9	G	02	N
860	9	G	03	N
861	9	G	04	N
862	9	G	05	N
874	9	R	01	N
875	9	R	02	N
876	9	R	03	N
877	9	R	04	N
878	9	R	05	N
890	9	W	01	N
891	9	W	02	N
892	9	W	03	N
893	9	W	04	N
894	9	W	05	N
586	10	B	01	N
587	10	B	02	N
588	10	B	03	N
589	10	B	04	N
590	10	B	05	N
602	10	G	01	N
603	10	G	02	N
604	10	G	03	N
605	10	G	04	N
606	10	G	05	N
618	10	R	01	N
619	10	R	02	N
620	10	R	03	N
621	10	R	04	N
622	10	R	05	N
634	10	W	01	N
635	10	W	02	N
636	10	W	03	N
637	10	W	04	N
638	10	W	05	N
906	11	B	01	N
907	11	B	02	N
908	11	B	03	N
909	11	B	04	N
910	11	B	05	N
922	11	G	01	N
923	11	G	02	N
924	11	G	03	N
925	11	G	04	N
926	11	G	05	N
938	11	R	01	N
939	11	R	02	N
940	11	R	03	N
941	11	R	04	N
942	11	R	05	N
954	11	W	01	N
955	11	W	02	N
956	11	W	03	N
957	11	W	04	N
958	11	W	05	N
714	12	B	01	N
715	12	B	02	N
716	12	B	03	N
717	12	B	04	N
718	12	B	05	N
730	12	G	01	N
731	12	G	02	N
732	12	G	03	N
733	12	G	04	N
734	12	G	05	N
746	12	R	01	N
747	12	R	02	N
748	12	R	03	N
749	12	R	04	N
750	12	R	05	N
762	12	W	01	N
763	12	W	02	N
764	12	W	03	N
765	12	W	04	N
766	12	W	05	N
138	13	B	01	N
139	13	B	02	N
140	13	B	03	N
141	13	B	04	N
142	13	B	05	N
154	13	G	01	N
155	13	G	02	N
156	13	G	03	N
157	13	G	04	N
158	13	G	05	N
170	13	R	01	N
171	13	R	02	N
172	13	R	03	N
173	13	R	04	N
174	13	R	05	N
186	13	W	01	N
187	13	W	02	N
188	13	W	03	N
189	13	W	04	N
190	13	W	05	N
330	14	B	01	N
331	14	B	02	N
332	14	B	03	N
333	14	B	04	N
334	14	B	05	N
346	14	G	01	N
347	14	G	02	N
348	14	G	03	N
349	14	G	04	N
350	14	G	05	N
362	14	R	01	N
363	14	R	02	N
364	14	R	03	N
365	14	R	04	N
366	14	R	05	N
378	14	W	01	N
379	14	W	02	N
380	14	W	03	N
381	14	W	04	N
382	14	W	05	N
266	15	B	01	N
267	15	B	02	N
268	15	B	03	N
269	15	B	04	N
270	15	B	05	N
282	15	G	01	N
283	15	G	02	N
284	15	G	03	N
285	15	G	04	N
286	15	G	05	N
298	15	R	01	N
299	15	R	02	N
300	15	R	03	N
301	15	R	04	N
302	15	R	05	N
314	15	W	01	N
315	15	W	02	N
316	15	W	03	N
317	15	W	04	N
318	15	W	05	N
202	16	B	01	N
203	16	B	02	N
204	16	B	03	N
205	16	B	04	N
206	16	B	05	N
218	16	G	01	N
219	16	G	02	N
220	16	G	03	N
221	16	G	04	N
222	16	G	05	N
234	16	R	01	N
235	16	R	02	N
236	16	R	03	N
237	16	R	04	N
238	16	R	05	N
250	16	W	01	N
251	16	W	02	N
252	16	W	03	N
253	16	W	04	N
254	16	W	05	N
