1024	1
1025	2
1026	3
1027	4
1028	5
1029	6
1030	7
1031	8
1032	9
1033	10
1034	11
1035	12
1036	39
1037	40
1038	41
1039	42
1040	49
1041	50
1042	51
1043	52
1044	53
1045	54
1046	55
1047	56
1048	57
1049	58
1050	59
1051	60
1052	61
1053	62
1054	63
1055	64
1056	65
1057	66
1058	67
1059	68
1060	69
1061	70
1062	71
1063	72
1064	73
1065	74
1066	75
1067	76
1068	91
1069	92
1070	93
1071	94
1072	117
1073	118
1074	119
1075	120
1076	95
1077	96
1078	97
1079	98
1080	99
1081	100
1082	101
1083	102
1084	103
1085	104
1086	105
1087	106
1280	13
1281	14
1282	15
1283	16
1284	17
1285	18
1286	19
1287	20
1288	21
1289	22
1290	43
1291	44
1292	45
1293	46
1294	47
1295	48
1296	23
1297	24
1298	25
1299	26
1300	27
1301	28
1302	29
1303	30
1304	31
1305	32
1306	33
1307	34
1308	35
1309	36
1310	37
1311	38
1312	121
1313	122
1314	123
1315	124
1316	125
1317	126
1318	127
1319	128
1320	109
1321	110
1322	111
1323	112
1324	113
1325	114
1326	115
1327	116
1328	107
1329	108
1330	77
1331	78
1332	79
1333	80
1334	81
1335	82
1336	83
1337	84
1338	85
1339	86
1340	87
1341	88
1342	89
1343	90
