1	1024
2	1025
3	1026
4	1027
5	1028
6	1029
7	1030
8	1031
9	1032
10	1033
11	1034
12	1035
39	1036
40	1037
41	1038
42	1039
49	1040
50	1041
51	1042
52	1043
53	1044
54	1045
55	1046
56	1047
57	1048
58	1049
59	1050
60	1051
61	1052
62	1053
63	1054
64	1055
65	1056
66	1057
67	1058
68	1059
69	1060
70	1061
71	1062
72	1063
73	1064
74	1065
75	1066
76	1067
91	1068
92	1069
93	1070
94	1071
117	1072
118	1073
119	1074
120	1075
95	1076
96	1077
97	1078
98	1079
99	1080
100	1081
101	1082
102	1083
103	1084
104	1085
105	1086
106	1087
13	1280
14	1281
15	1282
16	1283
17	1284
18	1285
19	1286
20	1287
21	1288
22	1289
43	1290
44	1291
45	1292
46	1293
47	1294
48	1295
23	1296
24	1297
25	1298
26	1299
27	1300
28	1301
29	1302
30	1303
31	1304
32	1305
33	1306
34	1307
35	1308
36	1309
37	1310
38	1311
121	1312
122	1313
123	1314
124	1315
125	1316
126	1317
127	1318
128	1319
109	1320
110	1321
111	1322
112	1323
113	1324
114	1325
115	1326
116	1327
107	1328
108	1329
77	1330
78	1331
79	1332
80	1333
81	1334
82	1335
83	1336
84	1337
85	1338
86	1339
87	1340
88	1341
89	1342
90	1343
